,local_file_path,local_bus_expression,remote_bus_expression,remote_file_path,remote_file_declared_line,local_bus_type,remote_bus_type,local_net_name,remote_net_name,local_bus_shape,remote_bus_shape,change_remote_or_local,line_to_update,file_path,local_file_declared_line,file_to_update,net_to_update,command
0,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_clkdist,wrealsum o_outp_abs_50u_to_clkdist,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,81,wire,wrealsum,o_outp_abs_50u_to_clkdist,o_outp_abs_50u_to_clkdist,,,local,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_clkdist,sed -ri '392s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\bo_outp_abs_50u_to_clkdist@\1 real o_outp_abs_50u_to_clkdist \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v' 
1,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_pll,wrealsum o_outp_abs_50u_to_pll,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,82,wire,wrealsum,o_outp_abs_50u_to_pll,o_outp_abs_50u_to_pll,,,local,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_pll,sed -ri '394s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\bo_outp_abs_50u_to_pll@\1 real o_outp_abs_50u_to_pll \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v' 
2,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire tx_dcmon_to_cmp_p,wrealsum i_tx_dcmon_to_cmp_p,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,130,wire,wrealsum,tx_dcmon_to_cmp_p,i_tx_dcmon_to_cmp_p,,,local,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,tx_dcmon_to_cmp_p,sed -ri '376s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\btx_dcmon_to_cmp_p@\1 real tx_dcmon_to_cmp_p \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v' 
3,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire vcc_pll_ldodrv_stg_low_sense,wrealsum i_vcc_pll_ldo_vcc1p5_sense,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,131,wire,wrealsum,vcc_pll_ldodrv_stg_low_sense,i_vcc_pll_ldo_vcc1p5_sense,,,local,400,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,400,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,vcc_pll_ldodrv_stg_low_sense,sed -ri '400s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\bvcc_pll_ldodrv_stg_low_sense@\1 real vcc_pll_ldodrv_stg_low_sense \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v' 
4,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire vcc_clkdist_ldodrv_stg_high_vref,wrealsum vcc_clkdist_ldodrv_stg_high_vref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2tx_top.sv,85,wire,wrealsum,vcc_clkdist_ldodrv_stg_high_vref,vcc_clkdist_ldodrv_stg_high_vref,,,local,396,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,396,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,vcc_clkdist_ldodrv_stg_high_vref,sed -ri '396s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\bvcc_clkdist_ldodrv_stg_high_vref@\1 real vcc_clkdist_ldodrv_stg_high_vref \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v' 
5,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire o_vcc_clkdist_ldodrv_stg_high_vref,wrealsum o_vcc_clkdist_ldodrv_stg_high_vref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,95,wire,wrealsum,o_vcc_clkdist_ldodrv_stg_high_vref,o_vcc_clkdist_ldodrv_stg_high_vref,,,local,101,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,101,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,o_vcc_clkdist_ldodrv_stg_high_vref,sed -ri '101s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\bo_vcc_clkdist_ldodrv_stg_high_vref@\1 real o_vcc_clkdist_ldodrv_stg_high_vref \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v' 
6,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_n_300u,wrealsum pr0_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,145,wire,wrealsum,iref0_instage_dc_n_300u,pr0_dc_bias_n_ref,,,local,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_n_300u,sed -ri '240s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\biref0_instage_dc_n_300u@\1 real iref0_instage_dc_n_300u \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v' 
7,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_p_300u,wrealsum pr0_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,146,wire,wrealsum,iref0_instage_dc_p_300u,pr0_dc_bias_p_ref,,,local,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_p_300u,sed -ri '220s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\biref0_instage_dc_p_300u@\1 real iref0_instage_dc_p_300u \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v' 
8,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_n_300u,wrealsum pr1_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,148,wire,wrealsum,iref1_instage_dc_n_300u,pr1_dc_bias_n_ref,,,local,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_n_300u,sed -ri '230s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\biref1_instage_dc_n_300u@\1 real iref1_instage_dc_n_300u \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v' 
9,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_p_300u,wrealsum pr1_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,149,wire,wrealsum,iref1_instage_dc_p_300u,pr1_dc_bias_p_ref,,,local,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_p_300u,sed -ri '236s@(input\s+|output\s+|inout\s+|)[^[]*(\[[0-9:]+\]\s+|)\biref1_instage_dc_p_300u@\1 real iref1_instage_dc_p_300u \2@' '/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v' 
